R_m,L_m,throat_radius_m,throat_area_m2,people_est,air_nat_v_m_per_s,water_nat_v_m_per_s,co2_delta_ppm_fixed_6mps,co2_indoor_ppm_fixed_6mps,co2_delta_ppm_natcirc,co2_indoor_ppm_natcirc,heat_MW,water_flow_m3_per_s,eq_single_supply_pipe_ID_m_at_vnat,total_pipe_area_to_throat_area_ratio,total_pipe_area_to_quarter_throat_ratio,quarter_throat_nonviable
50.0,100.0,13.545709229571926,576.4390190073015,628.3185307179587,2.0687341581143652,1.3816294727603347,0.9083333333333333,420.90833333333336,2.6344612615511855,422.63446126155117,0.6283185307179587,0.0075157718985401755,0.08322351609794974,1.8873768646398033e-05,7.549507458559213e-05,False
75.0,150.0,16.590037908279932,864.6585285109522,1413.716694115407,2.566901449383567,1.7143366063874388,1.3625000000000003,421.3625,3.184773611765735,423.18477361176576,1.4137166941154071,0.016910486771715395,0.11206888845583116,2.2816308296834706e-05,9.126523318733882e-05,False
112.5,225.0,20.31856384435789,1296.9877927664281,3180.8625617596654,3.170641276097773,2.117551652262584,2.0437500000000006,422.04375,3.8675141500371555,423.86751415003715,3.1808625617596653,0.03804859523635963,0.15125417341438538,2.7707588025603532e-05,0.00011083035210241413,False
168.75,337.5,24.885056862419894,1945.481689149642,7156.940763959248,3.9049892033097993,2.607994919473579,3.065625000000001,423.065625,4.710320321605447,424.7103203216054,7.1569407639592475,0.08560933928180918,0.20443830023160867,3.374560761165364e-05,0.00013498243044661457,False
253.125,506.25,30.477845766536834,2918.2225337244636,16103.116718908306,4.800302338642107,3.2059407745621256,4.598437500000001,424.5984375,5.747684844326858,425.74768484432684,16.103116718908307,0.19262101338407064,0.27658533122033285,4.1177479277246785e-05,0.00016470991710898714,False
379.6875,759.375,37.32758529362984,4377.333800586694,36232.012617543696,5.89354268152722,3.9360747420494953,6.897656250000003,426.89765625,7.022251256399743,427.0222512563997,36.232012617543695,0.43339728011415907,0.3744264167393732,5.0308709231931735e-05,0.00020123483692772694,False
569.53125,1139.0625,45.71676864980525,6566.000700880044,81522.0283894733,7.229817392845985,4.828522192400073,10.346484375000001,430.346484375,8.586510955508784,428.5865109555088,81.52202838947329,0.9751438802568575,0.5070867855807596,6.151535557543675e-05,0.000246061422301747,False
854.296875,1708.59375,55.991377940444764,9849.001051320065,183424.56387631493,8.86424733557628,5.920096269804234,15.519726562500002,435.5197265625,10.504936950627881,430.5049369506279,183.42456387631495,2.19407373057793,0.6869360106732085,7.525931489097224e-05,0.000301037259563889,False
1281.4453125,2562.890625,68.57515297470788,14773.501576980096,412705.26872170856,10.864244693711132,7.255819027899263,23.279589843750003,443.27958984375,12.85662676056566,432.85662676056563,412.7052687217086,4.936665893800342,0.9307407015332108,9.210725646014268e-05,0.0003684290258405707,False
1922.16796875,3844.3359375,83.98706691066715,22160.25236547015,928586.8546238444,13.312295469702791,8.89077975480427,34.919384765625004,454.919384765625,15.738556064247847,435.73855606424786,928.5868546238444,11.10749826105077,1.2612270026022614,0.00011275393201647472,0.0004510157280658989,False
2883.251953125,5766.50390625,102.86272946206182,33240.37854820522,2089320.4229036497,16.309362572903577,10.892407767461531,52.37907714843751,472.3790771484375,19.269573625934438,439.2695736259344,2089.3204229036496,24.99187108736423,1.7091984871333994,0.0001380507961299372,0.0005522031845197488,False
4324.8779296875,8649.755859375,125.98060036600073,49860.567822307836,4700970.951533212,19.97905034847917,13.343253743333536,78.56861572265626,498.56861572265626,23.59530038282435,443.59530038282435,4700.9709515332115,56.23170994656952,2.316406804080091,0.00016904110417834706,0.0006761644167133882,False
6487.31689453125,12974.6337890625,154.29409419309275,74790.85173346176,10577184.640949726,24.47270256359159,16.34439447298298,117.85292358398435,537.8529235839843,28.89413376665214,448.89413376665215,10577.184640949727,126.52134737978142,3.139442590337414,0.00020700292841989635,0.0008280117136795854,False
9730.975341796875,19461.95068359375,188.9709005490011,112186.27760019264,23798665.442136884,29.975644241191166,20.019601545303416,176.77938537597652,596.7793853759765,35.384604371515934,455.38460437151593,23798.665442136884,284.67303160450814,4.255009242933193,0.00025350186252466947,0.0010140074500986779,False
14596.463012695312,29192.926025390625,231.44114128963906,168279.41640028887,53546997.244807996,36.7148248400712,24.520445939033664,265.169078063965,685.169078063965,43.33438809293539,463.3343880929354,53546.997244808,640.5143211101436,5.767071017315819,0.00031045558620881517,0.0012418223448352607,False
21894.69451904297,43789.38903808594,283.4563508235016,252419.1246004334,120480743.80081798,44.96817803826488,30.03254906886208,397.7536170959472,817.7536170959472,53.07134526430924,473.07134526430923,120480.74380081799,1441.1572224978229,7.816541588966679,0.00038021295165369167,0.0015208518066147667,False
32842.04177856445,65684.0835571289,347.16171193445865,378628.6869006501,271081673.5518405,55.07608415316992,36.783238103250405,596.6304256439211,1016.6304256439211,64.99704198119703,484.997041981197,271081.6735518405,3242.6037506201014,10.594415964238747,0.00046565085277853823,0.001862603411114153,False
49263.06266784668,98526.12533569336,425.1845262352524,567943.0303509751,609933765.491641,67.45540793736264,45.05092127848907,894.9456384658815,1314.9456384658815,79.60331120940563,499.60331120940566,609933.765491641,7295.858438895227,14.359569515583102,0.0005702928720875989,0.0022811714883503955,False
